video_id,title,channel_id,channel_name,category_id,category_name,published_at,view_count,like_count,comment_count,duration_seconds,thumbnail_url,tags,fetched_at,region
yToXsY4N4qs,"Would You Rather, MEME EDITION…",UCY0R0Ck6qK2deVTKkfWJIEA,CashBlox,20,Gaming,2026-03-21T11:01:32Z,367454,6421,730,1112,https://i.ytimg.com/vi/yToXsY4N4qs/hqdefault.jpg,"[""Cash"", ""Nico"", ""Nico and Cash"", ""Cash and Nico"", ""Minecraft"", ""Minecraft mod"", ""family friendly"", ""kid friendly""]",2026-03-22T14:57:42.889069+00:00,US
HkH-7_UCzdg,6 Years Living in a Ghost Town...Everything Depends on This,UCEjBDKfrqQI4TgzT9YLNT8g,Ghost Town Living,22,People & Blogs,2026-03-21T18:00:14Z,338787,24545,1622,2633,https://i.ytimg.com/vi/HkH-7_UCzdg/hqdefault.jpg,[],2026-03-22T14:57:43.961289+00:00,US
Lz0B5ZndCsc,IT'S MOVING DAY!! Rental House Tour & Moving In!!,UCXLnGIevWGWK2dPDcvM5-CA,RemLife,22,People & Blogs,2026-03-20T15:00:40Z,184178,6805,348,1621,https://i.ytimg.com/vi/Lz0B5ZndCsc/hqdefault.jpg,"[""missremiashten"", ""remlife"", ""remi"", ""cruz"", ""vlog"", ""vlogger"", ""daily"", ""follow me around"", ""day in the life"", ""look"", ""looks"", ""mrsremiashten""]",2026-03-22T14:57:43.961289+00:00,US
ifS06clKQFU,My First Week Living In My NEW APARTMENT!,UC0HhhqwYzk5RWqL_dOygHew,Chris Cotter,22,People & Blogs,2026-03-19T17:14:12Z,101162,4778,592,11559,https://i.ytimg.com/vi/ifS06clKQFU/hqdefault.jpg,"[""chris cotter"", ""vlog"", ""week in my life"", ""new apartment"", ""moving in""]",2026-03-22T14:57:43.961289+00:00,US
wtig2o2iWjQ,Watch BEFORE You Buy from Peppermayo,UCzzOKT1SkE7qdycJvPCR3Gg,Mia Maples,22,People & Blogs,2026-03-13T17:01:35Z,861980,38306,2745,1785,https://i.ytimg.com/vi/wtig2o2iWjQ/hqdefault.jpg,"[""peppermayo"", ""pinterest brand"", ""safiya nygaaard"", ""mia maples"", ""pinterest"", ""dresses"", ""glam dresses"", ""extra dresses"", ""pinterest shop feature"", ""haul"", ""try on"", ""try on haul"", ""dress haul"", ""shop with me"", ""the most beautiful dresses"", ""trying on expensive dresses"", ""trying on cheap dresses"", ""are these dresses worth the hype"", ""expectation vs reality"", ""huge shopping haul"", ""mama maples"", ""viral dresses"", ""tiktok dresses"", ""tiktok viral"", ""pinterest haul"", ""pinterest shop"", ""houseofcb"", ""instagram brand""]",2026-03-22T14:57:43.961289+00:00,US
FYPsOBBpDVw,WHAT BOOK TOUR WAS REALLY LIKE,UC7szm7Z-YOF_HiFSY7KtYGw,Haley Pham,22,People & Blogs,2026-03-20T14:00:26Z,147697,9189,673,1357,https://i.ytimg.com/vi/FYPsOBBpDVw/hqdefault.jpg,"[""haleypham"", ""haley pham"", ""just friends by Haley Pham"", ""Haley Pham book""]",2026-03-22T14:57:43.961289+00:00,US
VqLKY9widxA,MY MOVING VLOG,UC0C4lZfstxtUHY8usaPK3ag,JeZAbelle,22,People & Blogs,2026-03-20T21:00:00Z,65810,5094,558,5966,https://i.ytimg.com/vi/VqLKY9widxA/hqdefault.jpg,[],2026-03-22T14:57:43.961289+00:00,US
k7TtZM91nGo,"Dollar Tree JUST Released Luxury Brands! ✨ Pottery Barn, MacKenzie Childs & Ulta Dupes!",UCJA8OyDxRY-wm0ya2gtHOsw,Do It On A Dime,22,People & Blogs,2026-03-17T17:10:27Z,173926,11820,323,608,https://i.ytimg.com/vi/k7TtZM91nGo/hqdefault.jpg,"[""doitonadime"", ""home organization"", ""home organizing"", ""organizing tips"", ""budget organization"", ""dollar tree"", ""cleaning"", ""do it on a dime"", ""clean with me"", ""dollar tree hacks"", ""dollar tree organization"", ""dollar tree secrets"", ""shop with me"", ""2024"", ""diy""]",2026-03-22T14:57:43.961289+00:00,US
TKhqrvcjwhE,"VAMOS AL MANDADO | pool, shopping, ect ",UC2Pos35l91XL8YHUf178uHQ,luluxx,22,People & Blogs,2026-03-21T02:57:55Z,58421,2368,91,1256,https://i.ytimg.com/vi/TKhqrvcjwhE/hqdefault.jpg,[],2026-03-22T14:57:43.961289+00:00,US
l8g6ZdZKHCc,Finding My Groove Postpartum | Real Life Meals of the Week,UCIxmWUbe4OZuMDJKIHKwwKg,Acre Homestead,22,People & Blogs,2026-03-18T18:31:17Z,138620,11083,557,1911,https://i.ytimg.com/vi/l8g6ZdZKHCc/hqdefault.jpg,"[""meals for the week"", ""meals for the week family""]",2026-03-22T14:57:43.961289+00:00,US
P9VPJf1tRW8,EDITING OUR VLOG LIKE A REALITY TV SHOW (LOL),UCSGoIq_tVESqNYF1Re-zn1Q,Ha Sisters,22,People & Blogs,2026-03-15T10:00:35Z,695854,24374,826,2791,https://i.ytimg.com/vi/P9VPJf1tRW8/hqdefault.jpg,"[""hjevelyn"", ""Evelyn ha"", ""Emily ha"", ""erica ha"", ""korean siblings"", ""korean sisters"", ""siblings"", ""hjevelyn room tour"", ""hjevelyn speaking in korean"", ""hjevelyn nyc"", ""nyc"", ""New York city"", ""blackpink"", ""kpop"", ""BTS"", ""24 hour challenges"", ""Michelle choi"", ""living alone diaries"", ""nyc vlog"", ""home alone"", ""Nicole laeno"", ""I live alone vlog"", ""nyc apartment tour""]",2026-03-22T14:57:43.961289+00:00,US
YK6oakzYQW8,I'm getting ENGAGED?!!,UCIF5tHidsbpZnZgSmbQK-cQ,RYKEL,22,People & Blogs,2026-03-20T19:15:01Z,145841,6110,489,1167,https://i.ytimg.com/vi/YK6oakzYQW8/hqdefault.jpg,"[""Rykel"", ""rykel bennett"", ""figuring out 20s"", ""vlogger"", ""young adult"", ""book lover"", ""photography"", ""ohana adventure"", ""klailea"", ""RYKEL"", ""bennett"", ""bennett family"", ""LDS"", ""mormon"", ""vlogs"", ""dating years""]",2026-03-22T14:57:43.961289+00:00,US
kLZkA5gP0O0,FUN days in my life as a college student⋆˚꩜｡,UCr1nLIQFpNV5DxD22qxGsyQ,Nicole Laeno,22,People & Blogs,2026-03-20T19:00:53Z,118998,6266,273,1642,https://i.ytimg.com/vi/kLZkA5gP0O0/hqdefault.jpg,[],2026-03-22T14:57:43.961289+00:00,US
nfHPrPfpHhA,weekly vlog | I didn't win + quick LA trip + train storytime + unboxings & more! Allyiahsface vlog,UCiiFVjk0cuq6NPeIG0p0Yrg,AllyiahsFace,22,People & Blogs,2026-03-15T18:03:29Z,173345,9504,909,6300,https://i.ytimg.com/vi/nfHPrPfpHhA/hqdefault.jpg,"[""AllyiahsFace"", ""allyiahsface grwm"", ""allyiahsface vlog"", ""allyiahsface instagram"", ""allyiahsface vlogmas"", ""allyiahsface wig"", ""allyiahsface hair"", ""allyiahsface vlogs"", ""weekly vlog"", ""day in my life vlog"", ""allyiahsface"", ""a day in my life vlog"", ""daily vlog"", ""long vlog"", ""a vlog"", ""atlanta vlog"", ""vlog"", ""random vlogger"", ""day in the life vlog"", ""vlogging"", ""daily vlogs"", ""weekend vlog"", ""vlogs"", ""aesthetic vlog"", ""a day in my life""]",2026-03-22T14:57:43.961289+00:00,US
e-mqO-zLBgc,I Flew Across The World To Find My Missing Twin Sister!,UCyncmwP7mZvtLu8OtGPdt1w,Regina & Daniela,22,People & Blogs,2026-03-21T15:10:02Z,84424,1920,278,1310,https://i.ytimg.com/vi/e-mqO-zLBgc/hqdefault.jpg,"[""spy ninjas"", ""spyninjas"", ""chad and vy"", ""chad wild clay"", ""chad"", ""regina and daniel"", ""raniel"", ""regina and daniela"", ""Daniela aguilar"", ""regina pena"", ""Daniel ferri"", ""Daniel and regina"", ""Daniel toads"", ""mystery"", ""cats"", ""24 hours"", ""challenge"", ""trending"", ""new cats"", ""surprise cats"", ""kidnapped cats"", ""abandonded cats"", ""trapped"", ""overnight"", ""missing"", ""abandoned places"", ""abandoned houses"", ""best friend missing"", ""bff challenge"", ""abandoned ship in desert"", ""abandoned desert"", ""abandoned desert town"", ""spain"", ""granada"", ""travel"", ""espana""]",2026-03-22T14:57:43.961289+00:00,US
UqMHVtWCyB0,MOM HAS BEEN WAITING OVER 6 YEARS FOR THIS…,UCJT8tQUKZu7ZtBZA0117BtQ,Trace & Lydia,22,People & Blogs,2026-03-21T16:12:20Z,48201,3791,67,1150,https://i.ytimg.com/vi/UqMHVtWCyB0/hqdefault.jpg,[],2026-03-22T14:57:43.961289+00:00,US
aQe-siVUEi0,"WHAT I WEAR IN A WEEK TO HIGH SCHOOL | outfit inspo, vlog",UCeCDY9wGQRgwfD06oLV1MzQ,emily ha,22,People & Blogs,2026-03-20T11:57:01Z,139317,7727,268,2015,https://i.ytimg.com/vi/aQe-siVUEi0/hqdefault.jpg,"[""hjevelyn"", ""Emily ha"", ""erica ha"", ""ha sisters"", ""catcakes"", ""korea"", ""vlog"", ""day in life"", ""what I eat in a day"", ""food"", ""Alexa rivera"", ""Brent rivera"", ""nyc vlog""]",2026-03-22T14:57:43.961289+00:00,US
IENJaaNdHyE,How I FINALLY Won the War on Invasive Grasses (NO Chemicals!),UCCkFJmUgzrZdkeHl_qPItsA,Anne of All Trades,22,People & Blogs,2026-03-20T15:59:37Z,58445,3832,311,1519,https://i.ytimg.com/vi/IENJaaNdHyE/hqdefault.jpg,"[""anne of all trades"", ""gardening"", ""lazy gardening"", ""gardening tips"", ""permaculture"", ""homesteading"", ""no til garden"", ""nashville garden"", ""tennessee gardening"", ""zone 7b gardening"", ""Garden weeds"", ""weeds"", ""weed control"", ""farm weeds"", ""pasture weeds"", ""chickweed"", ""crabgrass"", ""weed killer"", ""creeping grass"", ""bind weed"", ""johnson grass"", ""crab grass"", ""garden grass"", ""garden grasses"", ""invasive weeds"", ""invasive grass"", ""raised garden beds"", ""lazy garden"", ""plants"", ""spring gardening""]",2026-03-22T14:57:43.961289+00:00,US
z9ztEwvc4X0,It's Been 2 Years! (Back in Our Old House!),UCzVxzz60KHq5Bgqf1zqoocg,CRAZY MIDDLES,22,People & Blogs,2026-03-18T21:48:09Z,78556,4092,277,1665,https://i.ytimg.com/vi/z9ztEwvc4X0/hqdefault.jpg,[],2026-03-22T14:57:43.961289+00:00,US
0Gy3HygvpTM,Unpack my entire closet with me + grocery haulll,UCuQ9PbS08dQJNWfwjQE-Fnw,Jules LeBlanc,22,People & Blogs,2026-03-21T19:00:01Z,39371,2398,78,1110,https://i.ytimg.com/vi/0Gy3HygvpTM/hqdefault.jpg,"[""Annie LeBlanc"", ""Annie"", ""LeBlanc"", ""Bratayley"", ""AnnieLeBlanc"", ""Girl"", ""Jules LeBlanc"", ""Jules"", ""Julianna LeBlanc""]",2026-03-22T14:57:43.961289+00:00,US
